"canopus_formulaRank"	"canopus_molecularFormula"	"canopus_adduct"	"canopus_precursorFormula"	"canopus_NPC#pathway"	"canopus_NPC#pathway Probability"	"canopus_NPC#superclass"	"canopus_NPC#superclass Probability"	"canopus_NPC#class"	"canopus_NPC#class Probability"	"canopus_ClassyFire#superclass"	"canopus_ClassyFire#superclass probability"	"canopus_ClassyFire#class"	"canopus_ClassyFire#class Probability"	"canopus_ClassyFire#subclass"	"canopus_ClassyFire#subclass Probability"	"canopus_ClassyFire#level 5"	"canopus_ClassyFire#level 5 Probability"	"canopus_ClassyFire#most specific class"	"canopus_ClassyFire#most specific class Probability"	"canopus_ClassyFire#all classifications"	"canopus_ionMass"	"canopus_retentionTimeInSeconds"	"canopus_retentionTimeInMinutes"	"canopus_formulaId"	"canopus_alignedFeatureId"	"canopus_compoundId"	"canopus_mappingFeatureId"	"canopus_overallFeatureQuality"	"feature_id"
2	"C34H67N3O"	"[M + H]+"	"C34H68N3O+"	"Alkaloids"	0.388	"Pseudoalkaloids (transamidation)"	0.233	"Steroidal alkaloids"	0.412	"Lipids and lipid-like molecules"	0.946	"Steroids and steroid derivatives"	0.678	NA	NA	NA	NA	"Steroids and steroid derivatives"	0.678	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Steroids and steroid derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Trialkylamines; Amines; Tertiary amines; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	534.536	487	8.113	860778268134238976	860777723285722368	860777723285722368	2441	NA	2441
1	"C30H56O"	"[M + H3N + H]+"	"C30H60NO+"	"Fatty acids"	0.941	"Fatty acyls"	0.573	"Fatty alcohols"	0.701	"Lipids and lipid-like molecules"	0.82	"Fatty Acyls"	0.71	"Fatty alcohols"	0.51	NA	NA	"Fatty alcohols"	0.51	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organooxygen compounds; Fatty alcohols; Fatty Acyls; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	450.467	488	8.128	860778268465588992	860777723516409216	860777723516409216	2448	NA	2448
3	"C54H85NO3"	"[M + H3N + H]+"	"C54H89N2O3+"	"Alkaloids"	0.318	"Pseudoalkaloids (transamidation)"	0.581	"Steroidal alkaloids"	0.712	"Lipids and lipid-like molecules"	0.887	NA	NA	NA	NA	NA	NA	"Lipids and lipid-like molecules"	0.887	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organonitrogen compounds; Organooxygen compounds; Secondary alcohols; Amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	813.685	488	8.129	860778281954471552	860777723986171264	860777723986171264	2462	NA	2462
1	"C28H59NO2"	"[M - H2O + H]+"	"C28H58NO+"	"Fatty acids"	1	"Fatty amides"	0.967	"N-acyl amines"	0.627	"Lipids and lipid-like molecules"	0.944	"Fatty Acyls"	0.938	"Fatty amides"	0.916	"N-acyl amines"	0.882	"N-acyl amines"	0.882	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; 1,2-aminoalcohols; Amines; Alkanolamines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	424.451	488	8.134	860778282122243840	860777723545769344	860777723545769344	2449	NA	2449
4	"C48H86N2O8"	"[M + H3N + H]+"	"C48H90N3O8+"	"Amino acids and Peptides"	0.409	"Oligopeptides"	0.646	"Lipopeptides"	0.408	"Organic acids and derivatives"	0.982	"Carboxylic acids and derivatives"	0.964	"Amino acids, peptides, and analogues"	0.608	"Amino acids and derivatives"	0.596	"Amino acids and derivatives"	0.596	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Lactones; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Carboxylic acid esters; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	836.669	489	8.142	860778313592109056	860777723923256704	860777723923256704	2460	NA	2460
1	"C31H46N2O6"	"[M + H]+"	"C31H47N2O6+"	"Alkaloids"	0.917	"Tyrosine alkaloids"	0.983	"Isoquinoline alkaloids"	0.873	"Organoheterocyclic compounds"	0.896	"Tetrahydroisoquinolines"	0.662	NA	NA	NA	NA	"Tetrahydroisoquinolines"	0.662	"Organic compounds; Organoheterocyclic compounds; Alkyl aryl ethers; Alcohols and polyols; Anisoles; Piperidines; Ethers; Organonitrogen compounds; Organooxygen compounds; Trialkylamines; Phenol ethers; Benzenoids; Amines; Tertiary amines; Tetrahydroisoquinolines; Aralkylamines; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	543.343	489	8.157	860778268876630912	860777724049085824	860777724049085824	2464	NA	2464
1	"C36H75N3O3"	"[M - H2O + H]+"	"C36H74N3O2+"	"Fatty acids"	0.88	"Fatty amides"	0.211	"Open-chain polyketides"	0.069	"Lipids and lipid-like molecules"	0.934	"Fatty Acyls"	0.849	"Fatty amides"	0.914	"N-acyl amines"	0.85	"N-acyl amines"	0.85	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	580.578	490	8.159	860778282269044480	860777723650626944	860777723650626944	2452	NA	2452
1	"C34H64O2"	"[M + H3N + H]+"	"C34H68NO2+"	"Fatty acids"	0.844	"Fatty acyls"	0.19	"Fatty alcohols"	0.409	"Lipids and lipid-like molecules"	0.943	"Fatty Acyls"	0.644	"Fatty alcohols"	0.569	NA	NA	"Fatty alcohols"	0.569	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Prenol lipids; Primary alcohols; Organooxygen compounds; Fatty alcohols; Fatty Acyls; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	522.525	490	8.164	860778316695894144	860777723688375680	860777723688375680	2453	NA	2453
1	"C46H89NO8"	"[M + H]+"	"C46H90NO8+"	"Fatty acids"	1	"Spingolipids"	1	"Neutral glycosphingolipids"	1	"Lipids and lipid-like molecules"	0.998	"Sphingolipids"	0.976	"Glycosphingolipids"	0.982	"Neutral glycosphingolipids"	0.88	"Glycosyl-N-acylsphingosines"	0.868	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Sphingolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Neutral glycosphingolipids; Simple glycosylceramides; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Secondary carboxylic acid amides; Fatty acyl glycosides; Carbonyl compounds; Oxanes; Glycosyl compounds; Alkyl glycosides; O-glycosyl compounds; Polyols; Glycosphingolipids; Fatty acyl glycosides of mono- and disaccharides; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Glycosyl-N-acylsphingosines; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	784.667	490	8.166	860778262425790848	860777723763873152	860777723763873152	2455	NA	2455
1	"C46H89NO8"	"[M + Na]+"	"C46H89NNaO8+"	"Fatty acids"	0.999	"Spingolipids"	0.982	"Neutral glycosphingolipids"	0.962	"Lipids and lipid-like molecules"	0.974	"Sphingolipids"	0.714	"Glycosphingolipids"	0.714	"Neutral glycosphingolipids"	0.554	"Glycosyl-N-acylsphingosines"	0.536	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Sphingolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Neutral glycosphingolipids; Simple glycosylceramides; Hexoses; Monosaccharides; Secondary alcohols; Secondary carboxylic acid amides; Fatty acyl glycosides; Carbonyl compounds; Oxanes; Glycosyl compounds; Alkyl glycosides; O-glycosyl compounds; Polyols; Glycosphingolipids; Fatty acyl glycosides of mono- and disaccharides; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Glycosyl-N-acylsphingosines; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	806.648	490	8.167	860778265370192384	860777723721930112	860777723721930112	2454	NA	2454
1	"C36H70N2O"	"[M + H3N + H]+"	"C36H74N3O+"	"Fatty acids"	0.924	"Fatty amides"	0.523	"N-acyl ethanolamines (endocannabinoids)"	0.184	"Lipids and lipid-like molecules"	0.917	"Fatty Acyls"	0.536	"Fatty amides"	0.595	NA	NA	"Fatty amides"	0.595	"Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	564.583	490	8.174	860778269124094848	860777723797427584	860777723797427584	2456	NA	2456
3	"C38H77NO4"	"[M - H2O + H]+"	"C38H76NO3+"	"Fatty acids"	1	"Spingolipids"	1	"Ceramides"	1	"Lipids and lipid-like molecules"	0.997	"Sphingolipids"	0.983	"Ceramides"	0.995	"Long-chain ceramides"	0.676	"Long-chain ceramides"	0.676	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Sphingolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Ceramides; Secondary alcohols; Secondary carboxylic acid amides; Long-chain ceramides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	594.582	492	8.2	860778316930775168	860777723830982016	860777723830982016	2457	NA	2457
1	"C29H40O6"	"[M + H]+"	"C29H41O6+"	"Terpenoids"	0.868	"Triterpenoids"	0.198	"Tetracyclic diterpenoids"	0.026	"Lipids and lipid-like molecules"	0.863	"Prenol lipids"	0.666	NA	NA	NA	NA	"Prenol lipids"	0.666	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	485.29	492	8.207	860778266284550784	860777724388824448	860777724388824448	2474	NA	2474
1	"C28H59NO2"	"[M - H2O + H]+"	"C28H58NO+"	"Fatty acids"	1	"Spingolipids"	0.956	"Sphingoid bases"	0.958	"Lipids and lipid-like molecules"	0.52	NA	NA	NA	NA	NA	NA	"Lipids and lipid-like molecules"	0.52	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Secondary alcohols; 1,2-aminoalcohols; Amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	424.451	492	8.208	860778269254118400	860777724527236608	860777724523042304	2478	NA	2478
3	"C49H89NO9"	"[M + H]+"	"C49H90NO9+"	"Fatty acids"	0.999	"Spingolipids"	1	"Neutral glycosphingolipids"	0.997	"Lipids and lipid-like molecules"	0.965	"Sphingolipids"	0.97	"Glycosphingolipids"	0.981	"Neutral glycosphingolipids"	0.982	"Glycosyl-N-acylsphingosines"	0.981	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Sphingolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Neutral glycosphingolipids; Simple glycosylceramides; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Secondary carboxylic acid amides; Fatty acyl glycosides; Carbonyl compounds; Oxanes; Glycosyl compounds; Alkyl glycosides; O-glycosyl compounds; Polyols; Glycosphingolipids; Fatty acyl glycosides of mono- and disaccharides; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Glycosyl-N-acylsphingosines; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	836.664	493	8.212	860778315693455360	860777723956811136	860777723956811136	2461	NA	2461
6	"C43H83NO3S"	"[M + H]+"	"C43H84NO3S+"	"Fatty acids"	0.888	"Fatty amides"	0.329	"Primary amides"	0.078	"Organic oxygen compounds"	1	"Organooxygen compounds"	0.999	"Ethers"	0.97	"Dialkyl ethers"	0.968	"Dialkyl ethers"	0.968	"Organic compounds; Organosulfur compounds; Ethers; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dialkyl ethers; Sulfenyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	694.619	493	8.225	860778264887847424	860777724019725696	860777724019725696	2463	NA	2463
3	"C33H64N2O"	"[M + H3N + H]+"	"C33H68N3O+"	"Alkaloids"	0.592	"Pseudoalkaloids (transamidation)"	0.878	"Steroidal alkaloids"	0.848	"Lipids and lipid-like molecules"	0.817	"Steroids and steroid derivatives"	0.659	NA	NA	NA	NA	"Steroids and steroid derivatives"	0.659	"Organic compounds; Lipids and lipid-like molecules; Steroids and steroid derivatives; Organonitrogen compounds; Organooxygen compounds; Amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	522.537	494	8.227	860778316666534016	860777724120388992	860777724120388992	2466	NA	2466
1	"C31H58O"	"[M + H3N + H]+"	"C31H62NO+"	"Terpenoids"	0.906	"Meroterpenoids"	0.227	"Prenyl quinone meroterpenoids"	0.548	"Lipids and lipid-like molecules"	0.812	"Prenol lipids"	0.617	NA	NA	NA	NA	"Prenol lipids"	0.617	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Ethers; Prenol lipids; Organooxygen compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	464.483	494	8.237	860778266615900800	860777724158137728	860777724158137728	2467	NA	2467
1	"C61H109N11O13"	"[M + Na]+"	"C61H109N11NaO13+"	"Amino acids and Peptides"	0.888	"Oligopeptides"	0.999	"Lipopeptides"	0.329	"Organic acids and derivatives"	0.999	"Carboxylic acids and derivatives"	0.995	"Amino acids, peptides, and analogues"	0.992	"Peptides"	0.667	"Peptides"	0.667	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Lactams; Phenethylamines; Amphetamines and derivatives; Pyrrolidines; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Guanidines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; Benzenoids; Carboximidamides; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Phenylalanine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	1226.808	494	8.238	860778271992999040	860777724091028864	860777724091028864	2465	NA	2465
2	"C30H58O4S"	"[M + H3N + H]+"	"C30H62NO4S+"	"Fatty acids"	0.992	"Fatty esters"	0.924	"Wax monoesters"	0.348	"Organic acids and derivatives"	1	"Carboxylic acids and derivatives"	1	"Dicarboxylic acids and derivatives"	0.92	NA	NA	"Dicarboxylic acids and derivatives"	0.92	"Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Thioethers; Carboxylic acid esters; Carbonyl compounds; Sulfenyl compounds; Dialkylthioethers; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	532.439	494	8.24	860778265651210880	860777724187497856	860777724187497856	2468	NA	2468
1	"C32H62O2"	"[M + H3N + H]+"	"C32H66NO2+"	"Fatty acids"	0.875	"Fatty esters"	0.826	"Wax monoesters"	0.666	"Lipids and lipid-like molecules"	0.918	"Fatty Acyls"	0.766	"Fatty acid esters"	0.504	NA	NA	"Fatty acid esters"	0.504	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	496.51	495	8.242	860778265626045056	860777724254606720	860777724254606720	2470	NA	2470
1	"C48H91NO8"	"[M + Na]+"	"C48H91NNaO8+"	"Fatty acids"	1	"Spingolipids"	1	"Neutral glycosphingolipids"	1	"Lipids and lipid-like molecules"	0.999	"Sphingolipids"	0.993	"Glycosphingolipids"	0.994	"Neutral glycosphingolipids"	0.943	"Glycosyl-N-acylsphingosines"	0.938	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Sphingolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Neutral glycosphingolipids; Simple glycosylceramides; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Secondary carboxylic acid amides; Fatty acyl glycosides; Carbonyl compounds; Oxanes; Glycosyl compounds; Alkyl glycosides; O-glycosyl compounds; Polyols; Glycosphingolipids; Fatty acyl glycosides of mono- and disaccharides; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Glycosyl-N-acylsphingosines; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	832.664	495	8.248	860778270256557056	860777724355270016	860777724355270016	2473	NA	2473
1	"C48H91NO8"	"[M + H]+"	"C48H92NO8+"	"Fatty acids"	1	"Spingolipids"	1	"Neutral glycosphingolipids"	1	"Lipids and lipid-like molecules"	0.998	"Sphingolipids"	0.977	"Glycosphingolipids"	0.982	"Neutral glycosphingolipids"	0.869	"Glycosyl-N-acylsphingosines"	0.854	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Sphingolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Neutral glycosphingolipids; Simple glycosylceramides; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Secondary carboxylic acid amides; Fatty acyl glycosides; Carbonyl compounds; Oxanes; Glycosyl compounds; Alkyl glycosides; O-glycosyl compounds; Polyols; Glycosphingolipids; Fatty acyl glycosides of mono- and disaccharides; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Glycosyl-N-acylsphingosines; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	810.682	495	8.25	860778267916135168	860777724460127744	860777724460127616	2476	NA	2476
1	"C48H91NO8"	"[M - H2O + H]+"	"C48H90NO7+"	"Fatty acids"	1	"Spingolipids"	1	"Neutral glycosphingolipids"	1	"Lipids and lipid-like molecules"	0.998	"Sphingolipids"	0.975	"Glycosphingolipids"	0.981	"Neutral glycosphingolipids"	0.865	"Glycosyl-N-acylsphingosines"	0.852	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Sphingolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Neutral glycosphingolipids; Simple glycosylceramides; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Secondary carboxylic acid amides; Fatty acyl glycosides; Carbonyl compounds; Oxanes; Glycosyl compounds; Alkyl glycosides; O-glycosyl compounds; Polyols; Glycosphingolipids; Fatty acyl glycosides of mono- and disaccharides; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Glycosyl-N-acylsphingosines; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	792.671	495	8.251	860778270889897088	860777724426573184	860777724426573184	2475	NA	2475
1	"C48H90NO8P"	"[M + H]+"	"C48H91NO8P+"	"Fatty acids"	1	"Glycerophospholipids"	1	"Glycerophosphocholines"	0.997	"Lipids and lipid-like molecules"	0.981	"Glycerophospholipids"	0.997	"Glycerophosphocholines"	0.994	"1-(1Z-alkenyl),2-acyl-glycerophosphocholines"	0.591	"1-(1Z-alkenyl),2-acyl-glycerophosphocholines"	0.591	"Organic compounds; Lipids and lipid-like molecules; Glycerolipids; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Phosphocholines; Carbonyl compounds; Glycerophosphocholines; Amines; Alkyl phosphates; Dialkyl phosphates; Organic cations; 1-(1Z-alkenyl),2-acyl-glycerophosphocholines; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	840.648	495	8.252	860778275566546304	860777724221052288	860777724221052288	2469	NA	2469
1	"C45H88NO8P"	"[M + H]+"	"C45H89NO8P+"	"Fatty acids"	1	"Glycerophospholipids"	1	"Glycerophosphocholines"	0.999	"Lipids and lipid-like molecules"	0.99	"Glycerophospholipids"	0.999	"Glycerophosphocholines"	0.997	"Phosphatidylcholines"	0.991	"Phosphatidylcholines"	0.991	"Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Carboxylic acid derivatives; Carboxylic acid esters; Phosphocholines; Phosphatidylcholines; Carbonyl compounds; Glycerophosphocholines; Amines; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	802.633	495	8.257	860778266745924224	860777724321715584	860777724321715584	2472	NA	2472
1	"C37H73NO3"	"[M - H2O + H]+"	"C37H72NO2+"	"Fatty acids"	1	"Spingolipids"	0.999	"Ceramides"	0.997	"Lipids and lipid-like molecules"	0.973	"Sphingolipids"	0.972	"Ceramides"	0.992	"Long-chain ceramides"	0.536	"Long-chain ceramides"	0.536	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Sphingolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Ceramides; Secondary alcohols; Secondary carboxylic acid amides; Long-chain ceramides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	562.556	497	8.289	860778265189837312	860777724682425856	860777724682425856	2483	NA	2483
1	"C35H64N2O"	"[M + H3N + H]+"	"C35H68N3O+"	"Fatty acids"	0.97	"Fatty amides"	0.845	"N-acyl amines"	0.334	"Lipids and lipid-like molecules"	0.983	"Fatty Acyls"	0.86	"Fatty amides"	0.939	"N-acyl amines"	0.834	"N-acyl amines"	0.834	"Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Benzenoids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	546.536	497	8.29	860778267836443392	860777724749534720	860777724749534720	2485	NA	2485
1	"C36H67NO"	"[M + H3N + H]+"	"C36H71N2O+"	"Fatty acids"	0.996	"Fatty amides"	0.959	"N-acyl amines"	0.218	"Lipids and lipid-like molecules"	0.957	"Fatty Acyls"	0.757	"Fatty amides"	0.814	"N-acyl amines"	0.684	"N-acyl amines"	0.684	"Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	547.557	497	8.291	860778272785722496	860777724854392320	860777724854392320	2488	NA	2488
1	"C39H73NO"	"[M + H3N + H]+"	"C39H77N2O+"	"Fatty acids"	0.997	"Fatty amides"	0.981	"N-acyl amines"	0.467	"Lipids and lipid-like molecules"	0.976	"Fatty Acyls"	0.866	"Fatty amides"	0.903	"N-acyl amines"	0.801	"N-acyl amines"	0.801	"Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	589.603	497	8.291	860778268608195456	860777724892141056	860777724892141056	2489	NA	2489
